# config	num_cores	num_gpu	matrix_size	duration(s)	8_core_restricted_duration
mkl_omp	72	0	4000	4.95
mkl_omp	72	0	8000	36.00	22
mkl_omp	72	0	10000	90.91 	53
mkl_omp	72	0	12000	159.66	105
mkl_omp	72	0	16000	405.31	270

mkl_omp	1	0	8000	254.52	
mkl_omp	2	0	8000	135.76	
mkl_omp	3	0	8000	87.75	
mkl_omp	4	0	8000	61.85	
mkl_omp	6	0	8000	48.59
mkl_omp	7	0	8000	42.77
mkl_omp	8	0	8000	35.88	
mkl_omp	10	0	8000	34.03	26
mkl_omp	12	0	8000	35.08	27
mkl_omp	18	0	8000	34.99	25
mkl_omp	36	0	8000	34.72	26

mkl_omp	1	0	4000	26.71	
mkl_omp	2	0	4000	13.12	
mkl_omp	3	0	4000	8.31	
mkl_omp	4	0	4000	6.32	
mkl_omp	5	0	4000	5.53	
mkl_omp	6	0	4000	4.93	
mkl_omp	7	0	4000	5.30	
mkl_omp	8	0	4000	5.30	
mkl_omp	10	0	4000	4.75	
mkl_omp	12	0	4000	4.89	
mkl_omp	16	0	4000	4.14	
mkl_omp	32	0	4000	4.32	
mkl_omp	36	0	4000	4.89	
mkl_omp	72	0	4000	4.89	

mkl_omp	1	0	6000	106.50	
mkl_omp	2	0	6000	54.67	
mkl_omp	3	0	6000	34.54	
mkl_omp	4	0	6000	23.82	
mkl_omp	5	0	6000	22.28	
mkl_omp	6	0	6000	19.14	
mkl_omp	7	0	6000	17.35	
mkl_omp	8	0	6000	14.94	
mkl_omp	10	0	6000	12.92	
mkl_omp	12	0	6000	14.25	
mkl_omp	16	0	6000	13.43	
mkl_omp	32	0	6000	13.94	
mkl_omp	36	0	6000	12.95	
mkl_omp	72	0	6000	14.04	

mkl_omp	1	0	10000	332.61	
mkl_omp	2	0	10000	278.86	
mkl_omp	4	0	10000	129.08	
mkl_omp	8	0	10000	79.12	
mkl_omp	12	0	10000	72.14	
mkl_omp	16	0	10000	73.30	
mkl_omp	18	0	10000	72.82	
mkl_omp	36	0	10000	72.33	
mkl_omp	72	0	10000	82.70	



